review_id,rating,likes,date_review_scraped,review_date,company,source,review_text,owner_response_text
ChdDSUhNMG9nS0VJQ0FnSURRaXMzbHF3RRAB,4.0,0,2026/07/26,2013/07/29,1,Google Maps,As a guy with a non complicated hair cut....they do a good job and most of the time are running specials. If you are the guy that can get by with simple fades or trims ...this place is fast and easy. Of course that could change very easily since this is a place that employees come and go at the drop of a hat.,
ChdDSUhNMG9nS0VJQ0FnSURBNWJXTjdBRRAB,5.0,0,2026/07/26,2014/07/29,1,Google Maps,,
ChZDSUhNMG9nS0VJQ0FnSUNRb2NhQVRREAE,1.0,2,2026/07/26,2014/07/29,1,Google Maps,"We have been going to Great Clips for my sons and husbands hair cuts for a few years now and I have notice the this location is going down hill. Yesterday was the last straw. I took my 14yrd old son there after school to get a quick hair cut and the experience was horrible. First one of the hair stylist had an old friend as a client and they were catching up loudly which is fine, except they were cussing every other word and having inappropriate conversations which the place could hear. I would expect these types of conversations to be in a night club or Sexy Scissors not Great Clips. My son was in the chair right next to them and who knows what he heard. NOT a family atmosphere. So now to the haircut. My son told the lady between a 1 and a 2 guard for the sides and fade up. The lady showed him a guard in her hand and asked him like this. He had know idea and said yes and trusted she knew what she was doing. She shaved so high on his head and did a horrible fade that my 14yr old said it look like a bowl cut and had her just shave his head. I was very surprised when he was done. I had know idea at the time what had happened while he was in the chair until we got in the car and he told me. My son is very upset with the lack of hair he has and I am upset with the whole experience!!!",
ChdDSUhNMG9nS0VJQ0FnSURBcXZpVnFRRRAB,5.0,0,2026/07/26,2015/07/29,1,Google Maps,Our family goes to a sweet girl named Crystal. She absolutely gives us the best hair cuts. Thank you Crystal,
ChdDSUhNMG9nS0VJQ0FnSUNnODhYbHFnRRAB,1.0,2,2026/07/26,2016/07/28,1,Google Maps,"I show up first. Then some idiot signs in online, shows up 10 min AFTER I'm already there and gets served first. Last time I go here or ANY other ""Great Clips"" again. Not when there's 4 other haircut places who understand first come first serve.",
ChdDSUhNMG9nS0VJQ0FnSURneTQ3SGxBRRAB,1.0,2,2026/07/26,2016/07/28,1,Google Maps,Horrible!,
ChdDSUhNMG9nS0VJQ0FnSUNBbnFpNnFnRRAB,5.0,0,2026/07/26,2016/07/28,1,Google Maps,I have used this location for almost 4 years. Friendly attentive service. Stephanie seems to cut my hair more times than not and she does a great job. Never once have I had a complaint about this location. Robert S,
ChdDSUhNMG9nS0VJQ0FnSURnNmE3Rl93RRAB,3.0,0,2026/07/26,2016/07/28,1,Google Maps,,
ChdDSUhNMG9nS0VJQ0FnSUNBOW9XYnV3RRAB,1.0,2,2026/07/26,2016/07/28,1,Google Maps,One of worst place they don't know how to cut the hair,
ChZDSUhNMG9nS0VJQ0FnSURBaXZhbmFREAE,1.0,2,2026/07/26,2016/07/28,1,Google Maps,"I had my hair cut here yesterday. The woman who cut it did a terrible job. (I didn't catch her name but it was an Indian woman in her early 50's.) She didn't pay attention to what I asked for, and also cut off about 4 inches of my hair when I asked for 1 inch. I asked for a long angled bob and came out with my hair nearly butchered, the back of it all choppy and partly shaved with the front completely uneven. I honestly could not believe how bad of a job she did with the simple cut I wanted. I then realized after I got home that one side was about 1/2-1 full inch longer. I came back in this morning and asked to have it fixed, and the same woman was there. She didn't even ask if I would prefer someone else to fix it, which I would have. She didn't seem to know what she was doing. She was rude and didn't apologize, and insisted after doing barely anything that it was in fact even, which it still was not. It is upsetting that I will now have to wait about 2-3 months just to get my hair back to what it was before I let her cut it. I do not recommend this location, and especially not this stylist.",
ChZDSUhNMG9nS0VJQ0FnSUNnb2RMUmRREAE,1.0,3,2026/07/26,2017/07/28,1,Google Maps,Rude customer service. Took less than 8 minutes cutting my hair and rushed every single part of it when there wasn't a line. The lack of attention to detail will leave you will uneven lengths on even the simplest of haircuts like mine.,
ChdDSUhNMG9nS0VJQ0FnSUNRaW9pODlRRRAB,5.0,0,2026/07/26,2017/07/28,1,Google Maps,,"Thank you for the GREAT rating Will, we look forward to seeing you at your next visit."
ChZDSUhNMG9nS0VJQ0FnSUNBNC1ETUl3EAE,1.0,0,2026/07/26,2017/07/28,1,Google Maps,,"We are sorry to see your review Gautam. If you would like to discuss or receive follow up, please email with the location and details or call us at 800-473-2825 using extension three. Thank you."
ChdDSUhNMG9nS0VJQ0FnSURBZ3Vqa2tRRRAB,4.0,0,2026/07/26,2017/07/28,1,Google Maps,,
ChdDSUhNMG9nS0VJQ0FnSURRemV6NHNBRRAB,4.0,0,2026/07/26,2017/07/28,1,Google Maps,,
ChZDSUhNMG9nS0VJQ0FnSURBODY3alhBEAE,5.0,0,2026/07/26,2017/07/28,1,Google Maps,good place.. friendly place...,Thank you! We are always happy to help you!
ChdDSUhNMG9nS0VJQ0FnSURBN2FyXzRnRRAB,5.0,0,2026/07/26,2017/07/28,1,Google Maps,"Clean & friendly,",Thank you! We are happy to help you!
